cluster_id,title,price,reference_price,discount,popularity,img,url
10000000603,FEELALL 星空旋律 鼠标垫  凪款,¥6.8,¥35,,近90天售500+件,https://i0.hdslb.com/bfs/mall/mall/2b/5f/2b5fcc805ecdb4d36a31577073d83dc7.png,https://mall.bilibili.com/neul-next/resell/detail.html?noTitleBar=1&clusterId=10000000603
10000000606,FEELALL 星空旋律 鼠标垫 茉绪款,¥6.69,¥35,最低价仅1件,近90天售500+件,https://i0.hdslb.com/bfs/mall/mall/08/14/08149f2546e0a9a358ebea66a6690ffd.png,https://mall.bilibili.com/neul-next/resell/detail.html?noTitleBar=1&clusterId=10000000606
10000001630,FEELALL 星空旋律 鼠标垫  音理款,¥6.8,¥35,,近90天售500+件,https://i0.hdslb.com/bfs/mall/mall/92/ba/92bab25d56f0ed54479dc3acbb371528.png,https://mall.bilibili.com/neul-next/resell/detail.html?noTitleBar=1&clusterId=10000001630
10000000605,FEELALL 星空旋律 鼠标垫 叶月款,¥6.6,¥35,,近90天售400+件,https://i0.hdslb.com/bfs/mall/mall/1b/94/1b9467af7bae5c5bc90c7799a9fff2f3.png,https://mall.bilibili.com/neul-next/resell/detail.html?noTitleBar=1&clusterId=10000000605
10000000604,FEELALL 星空旋律 鼠标垫 月咏款,¥6.8,¥35,,近90天售400+件,https://i0.hdslb.com/bfs/mall/mall/cc/f8/ccf891a2736a3616fa0a1c5e0d89b934.png,https://mall.bilibili.com/neul-next/resell/detail.html?noTitleBar=1&clusterId=10000000604
10000002794,FEELALL 夏日恋曲 亚克力手机支架 由飞款,¥6.6,¥35,,近90天售100+件,https://i0.hdslb.com/bfs/mall/mall/44/c0/44c024115c38d974dbc7797fb68b81de.png,https://mall.bilibili.com/neul-next/resell/detail.html?noTitleBar=1&clusterId=10000002794
10000001564,FEELALL 异想少女 鼠标垫 洛塔 万圣款,¥10.5,¥55,最低价仅2件,近90天售100+件,https://i0.hdslb.com/bfs/mall/mall/16/2d/162de794c51ef8389540e331b7140445.png,https://mall.bilibili.com/neul-next/resell/detail.html?noTitleBar=1&clusterId=10000001564
10000001052,FEELALL 异想少女 鼠标垫 美琴 万圣款,¥11,¥55,,近90天售100+件,https://i0.hdslb.com/bfs/mall/mall/e6/10/e61000d60f0fda4e7b00ccde2c95cd0a.png,https://mall.bilibili.com/neul-next/resell/detail.html?noTitleBar=1&clusterId=10000001052
10000002792,FEELALL 夏日恋曲 亚克力手机支架  千夏款,¥6.6,¥35,,近90天售100+件,https://i0.hdslb.com/bfs/mall/mall/16/52/1652148bdbe0b2610315107b852da6f2.png,https://mall.bilibili.com/neul-next/resell/detail.html?noTitleBar=1&clusterId=10000002792
10000002793,FEELALL 夏日恋曲 亚克力手机支架 亚季款,¥6.6,¥35,,近90天售100+件,https://i0.hdslb.com/bfs/mall/mall/4a/ea/4aeae511eb51d1d40a44cdccc99180bf.png,https://mall.bilibili.com/neul-next/resell/detail.html?noTitleBar=1&clusterId=10000002793
